Acrema|empire|human|1|10;93|||
Acrem|kingdom|human|1|8;31|||
Acrem City|barony|human|1|1;10|Commons;Merchants;Nobles;Martial|Acrem|is the capital city of Acrem
Acifra|grand duchy|human|1|5;4||Acrem|
Wandar|barony|human|0|4;8|Commons;Merchants;Nobles;Martial|Acrem;Acifra|is the capital city of Acifra
Bilya|duchy|human|0|1;12|Commons|Acrem;Acifra|
Pliotir|barony|human|0|2;8|Commons;Merchants;Nobles|Acrem;Acifra;Bilya|is the capital city of Bilya
Dach|county|human|1|6;11|Commons;Merchants|Acrem;Acifra;Bilya|
Hamenand|barony|human|1|3;5|Commons;Merchants|Acrem;Acifra;Bilya;Dach|is the capital city of Dach
Stowbana|barony|human|1|4;4|Commons;Merchants|Acrem;Acifra;Bilya;Dach|
Golana|county|human|1|2;8|Commons;Merchants;Nobles|Acrem;Acifra;Bilya|
Andalu|barony|human|1|2;3|Commons;Merchants;Nobles|Acrem;Acifra;Bilya;Golana|is the capital city of Golana
Agarac's Dam|barony|human|1|2;2|Commons;Merchants;Nobles|Acrem;Acifra;Bilya;Golana|
Lami|county|human|1|3;11|Commons;Merchants|Acrem;Acifra;Bilya|
Mabako|barony|human|1|2;12|Commons;Merchants|Acrem;Acifra;Bilya;Lami|is the capital city of Lami
Nekay|barony|human|0|4;7|Commons;Merchants|Acrem;Acifra;Bilya;Lami|
Romorecan|barony|human|0|3;6|Commons;Merchants|Acrem;Acifra;Bilya;Lami|
Regin|county|human|0|6;11|Commons|Acrem;Acifra;Bilya|
Maynie|barony|human|0|1;4|Commons;Merchants|Acrem;Acifra;Bilya;Regin|is the capital city of Regin
Comorco|barony|human|0|1;9|Commons;Merchants|Acrem;Acifra;Bilya;Regin|
Scafria|county|human|1|5;5|Commons;Merchants|Acrem;Acifra;Bilya|
Torepria|barony|human|1|2;3|Commons;Merchants|Acrem;Acifra;Bilya;Scafria|is the capital city of Scafria
Bimzawbe|barony|human|1|4;5|Commons;Merchants|Acrem;Acifra;Bilya;Scafria|
Ogcon|barony|human|0|2;10|Commons;Merchants|Acrem;Acifra;Bilya;Scafria|
Dusan|duchy|human|1|5;6||Acrem;Acifra|
Kamthuor|barony|human|1|1;5||Acrem;Acifra;Dusan|is the capital city of Dusan
Pethoia|county|human|0|3;13|Commons|Acrem;Acifra;Dusan|
Dabisabada|barony|human|1|1;10||Acrem;Acifra;Dusan;Pethoia|is the capital city of Pethoia
Riovy Coast|barony|human|1|4;9||Acrem;Acifra;Dusan;Pethoia|
Pytge|county|human|0|5;7|Commons|Acrem;Acifra;Dusan|
Arioc|barony|human|1|1;11||Acrem;Acifra;Dusan;Pytge|is the capital city of Pytge
Faskina Buro|barony|human|1|3;7||Acrem;Acifra;Dusan;Pytge|
Tianamura|county|human|0|2;7|Commons|Acrem;Acifra;Dusan|
Chotanukot|barony|human|0|1;7|Commons|Acrem;Acifra;Dusan;Tianamura|is the capital city of Tianamura
Nogba|barony|human|0|3;5|Commons|Acrem;Acifra;Dusan;Tianamura|
Otgo|barony|human|0|1;7|Commons|Acrem;Acifra;Dusan;Tianamura|
Geralia|duchy|human|1|7;12|Commons;Merchants|Acrem;Acifra|
Geralis|barony|human|1|2;6|Commons;Merchants|Acrem;Acifra;Geralia|is the capital city of Geralia
Banmia|county|human|1|6;2|Commons;Merchants|Acrem;Acifra;Geralia|
Whoedik|barony|human|1|1;9|Commons;Merchants|Acrem;Acifra;Geralia;Banmia|is the capital city of Banmia
Hanga|barony|human|0|1;4|Commons;Merchants|Acrem;Acifra;Geralia;Banmia|
